category,product,rate_percent,term,note
deposit,普通預金,0.02,,通常金利
deposit,定期預金,0.18,6ヶ月,キャンペーン: 2026-03-31まで
deposit,定期預金,0.22,12ヶ月,キャンペーン: 2026-03-31まで
loan,住宅ローン,1.1,変動,半年ごとに見直し
loan,マイカーローン,1.8,固定,全期間固定
deposit,定期預金,0.91,3ヶ月,参考金利
deposit,定期預金,1.841,6ヶ月,参考金利
deposit,定期預金,4.151,12ヶ月,参考金利
deposit,定期預金,3.644,24ヶ月,参考金利
loan,住宅ローン,1.312,変動,参考金利
loan,住宅ローン,2.658,固定3年,参考金利
loan,住宅ローン,3.953,固定5年,参考金利
loan,住宅ローン,0.575,固定10年,参考金利
loan,マイカーローン,0.474,固定,参考金利
loan,マイカーローン,3.373,変動,参考金利
loan,教育ローン,2.646,固定,参考金利
loan,教育ローン,0.899,変動,参考金利
