id,category,title,summary,body,published_at,updated_at
20260211-001,maintenance,+Acts Bank モバイルアプリ メンテナンスのお知らせ,モバイルバンキングアプリの計画メンテナンスを実施します。,2026-02-12 01:00-03:00（JST）に計画メンテナンスを実施します。一部機能がご利用いただけない場合があります。,2026-02-11T09:00:00+09:00,2026-02-11T09:00:00+09:00
20260210-002,announcement,振込手数料改定のお知らせ,振込手数料の改定についてご案内します。,2026-03-01よりオンラインチャネルの振込手数料が変更となります。,2026-02-10T15:30:00+09:00,2026-02-10T15:30:00+09:00
20260209-003,outage,ATMネットワーク障害 復旧のお知らせ,一部地域で発生していたATM接続障害が復旧しました。,一部地域で発生していたATMネットワーク障害は復旧しました。ご不便をおかけしました。,2026-02-09T12:15:00+09:00,2026-02-09T14:00:00+09:00
news-20260001,outage,システムメンテナンスのお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-06-17T02:39:20.764571+00:00,2025-06-17T04:39:20.764571+00:00
news-20260002,announcement,システムメンテナンスのお知らせ,影響範囲をご確認ください。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-07-30T06:05:56.764571+00:00,2025-07-31T05:05:56.764571+00:00
news-20260003,announcement,機能追加のお知らせ,サービス品質向上のため実施します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-08-08T08:54:41.764571+00:00,2025-08-08T17:54:41.764571+00:00
news-20260004,outage,障害復旧のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2025-04-02T06:36:39.764571+00:00,2025-04-04T05:36:39.764571+00:00
news-20260005,outage,手数料改定のお知らせ,影響範囲をご確認ください。,ご不便をおかけしますが、何卒ご理解ください。,2026-01-31T17:08:24.764571+00:00,2026-02-03T17:08:24.764571+00:00
news-20260006,announcement,障害復旧のお知らせ,重要なお知らせを掲載します。,詳細はオンラインバンキングのお知らせをご確認ください。,2025-03-03T00:45:53.764571+00:00,2025-03-05T02:45:53.764571+00:00
news-20260007,announcement,機能追加のお知らせ,サービス品質向上のため実施します。,対象時間中は一部サービスがご利用いただけない場合があります。,2026-01-28T17:14:29.764571+00:00,2026-01-29T03:14:29.764571+00:00
