"id","category","question","answer","tags"
"faq-0001","account","住所変更はどうすればいいですか？","アプリまたはWebの設定画面から住所変更を申請できます。","address,profile"
"faq-0002","account","ログインできない場合の対処は？","パスワード再設定をお試しいただき、解決しない場合はサポートへご連絡ください。","login,account"
"faq-0003","transfer","振込はいつ着金しますか？","国内振込は通常、当日中（締切時刻まで）に着金します。","transfer,schedule"
"faq-0004","transfer","振込の上限額は変更できますか？","上限額はログイン後の限度額設定画面から変更申請できます。","transfer,limit"
"faq-0005","security","フィッシングが疑われる場合は？","不審なリンクは開かず、公式窓口へ連絡のうえパスワードを変更してください。","phishing,security"
"faq-0006","security","不審なログイン通知が届いたら？","身に覚えがない場合は直ちにパスワードを変更し、セッションを確認してください。","security,login"
"faq-0007","loan","ローンの繰上返済はできますか？","商品ごとに条件は異なりますが、繰上返済に対応しています。","loan,repayment"
"faq-0008","loan","ローン審査にはどれくらいかかりますか？","お申し込み内容により異なりますが、通常は数営業日で結果をご案内します。","loan,screening"
"faq-0009","card","カード再発行の手数料はいくらですか？","カード種別により異なります。最新の手数料は手数料一覧をご確認ください。","card,reissue"
"faq-0010","card","カードを一時停止したい場合は？","ログイン後のカード管理画面から一時停止・解除を操作できます。","card,lock"
